gvkey,permno,permco,linktype,linkprim,linkdt,linkenddt
001000,25881.0,23369.0,LU,P,1970-11-13,1978-06-30
001001,10015.0,6398.0,LU,P,1983-09-20,1986-07-31
001002,10023.0,22159.0,LC,C,1972-12-14,1973-06-05
001003,10031.0,6672.0,LU,C,1983-12-07,1989-08-16
001004,54594.0,20000.0,LU,P,1972-04-24,
001005,61903.0,11.0,LU,C,1973-01-31,1983-01-31
001007,10058.0,20.0,LU,C,1973-10-01,1979-01-30
001007,10058.0,20.0,LU,P,1979-01-31,1984-09-28
001008,10066.0,6331.0,LC,P,1983-08-25,1987-02-26
001009,10074.0,5271.0,LC,C,1982-01-18,1996-03-13
001010,10006.0,22156.0,LU,C,1950-05-01,1962-01-30
001010,10006.0,22156.0,LU,P,1962-01-31,1984-06-28
001011,10082.0,5793.0,LC,P,1983-03-21,1995-09-28
001012,10103.0,52.0,LU,P,1978-01-31,1989-12-29
001013,50906.0,2902.0,LU,P,1979-03-16,2010-12-31
001015,66405.0,5204.0,LU,P,1982-01-29,1986-10-31
001016,10146.0,314.0,LC,C,1973-11-01,1977-11-29
001016,10146.0,314.0,LC,P,1977-11-30,1988-04-26
001017,10154.0,81.0,LC,P,1972-12-14,1996-02-29
001018,10162.0,88.0,LU,C,1973-07-01,1979-01-30
001018,10162.0,88.0,LU,C,1979-01-31,1981-03-04
001019,10189.0,93.0,LC,C,1972-12-14,1988-02-09
001020,68806.0,100.0,LC,P,1972-12-14,1988-04-05
001021,10218.0,109.0,LU,P,1980-10-14,1999-03-19
001022,10234.0,118.0,LU,C,1973-07-01,1976-08-30
001022,10234.0,118.0,LU,P,1976-08-31,1983-07-28
001023,66755.0,5542.0,LU,P,1982-06-09,1988-10-05
001024,10269.0,6202.0,LU,P,1983-07-21,1984-09-28
001025,47351.0,306.0,LU,C,1973-01-31,1985-03-19
001026,10277.0,134.0,LU,P,1972-12-14,1978-05-31
001027,28601.0,23555.0,LU,P,1966-01-31,1971-05-28
001028,10285.0,5148.0,LU,P,1981-10-29,1992-01-31
001029,10293.0,6069.0,LU,P,1983-06-15,1985-10-31
001030,10306.0,145.0,LU,C,1973-01-31,1974-10-16
001031,10014.0,22157.0,LU,C,1960-04-01,1966-01-30
001031,10014.0,22157.0,LU,P,1966-01-31,1977-03-31
001034,65832.0,20007.0,LC,P,1984-02-15,2008-12-29
001036,65453.0,20008.0,LC,C,1983-12-06,2001-05-31
001037,10314.0,255.0,LU,C,1980-10-07,1988-08-25
001038,66413.0,6301.0,LU,P,1983-08-18,2004-12-31
001039,50526.0,25132.0,LC,P,1970-04-29,1979-11-30
001040,15763.0,22631.0,LU,C,1950-01-01,1962-01-30
001040,15763.0,22631.0,LU,P,1962-01-31,1985-10-31
001042,10365.0,5554.0,LU,P,1982-06-21,1985-06-28
001043,18980.0,20009.0,LC,C,1949-08-01,1962-01-30
001043,18980.0,20009.0,LC,C,1962-01-31,1982-04-27
001043,18980.0,20009.0,LC,C,1984-05-10,1993-05-19
001043,80071.0,30061.0,LC,C,1993-12-06,2000-01-27
001044,37591.0,21816.0,LU,C,1968-01-31,1970-06-30
001045,21020.0,20010.0,LC,C,1950-01-01,1962-01-30
001045,21020.0,20010.0,LC,P,1962-01-31,2012-01-04
001045,21020.0,20010.0,LC,P,2013-12-09,
001046,10373.0,7023.0,LU,P,1984-05-11,1985-05-31
001047,10381.0,3182.0,LU,C,1981-08-12,1983-05-31
001049,10400.0,304.0,LU,P,1976-01-30,1982-05-26
001050,11499.0,176.0,LC,P,1980-11-28,
001051,41961.0,24580.0,LC,C,1968-01-02,1968-12-31
001052,10402.0,311.0,LU,C,1973-04-01,1979-01-30
001052,10402.0,311.0,LU,P,1979-01-31,1983-03-31
001054,10429.0,5118.0,LU,P,1981-10-01,1994-09-30
001055,85041.0,7357.0,LU,P,1984-12-20,1997-08-29
001056,62500.0,336.0,LC,C,1973-07-01,1977-06-29
001056,62500.0,336.0,LC,P,1977-06-30,2007-08-15
001057,10030.0,22160.0,LC,C,1964-01-01,1967-01-30
001057,10030.0,22160.0,LC,P,1967-01-31,1967-12-29
001058,28636.0,23557.0,LU,C,1962-07-02,1986-10-30
001059,58958.0,25619.0,LU,P,1972-12-14,1981-03-31
001061,10445.0,340.0,LU,C,1973-04-01,1979-01-30
001061,10445.0,340.0,LU,P,1979-01-31,1980-10-31
001062,26649.0,20015.0,LU,P,1965-01-29,
001065,71239.0,5894.0,LU,C,1983-04-04,1991-07-19
001066,55335.0,1911.0,LC,C,1984-01-31,1986-12-04
001067,28652.0,23559.0,LC,C,1962-07-02,1966-01-30
001067,28652.0,23559.0,LC,P,1966-01-31,1984-01-30
001069,10480.0,6509.0,LU,C,1983-10-18,1984-10-16
001070,21549.0,23079.0,LC,C,1968-01-01,1968-01-30
001070,21549.0,23079.0,LC,P,1968-01-31,1981-04-30
001072,56899.0,25544.0,LC,C,1973-01-01,1973-03-29
001072,56899.0,25544.0,LC,C,1973-03-30,1990-01-18
