gvkey,datadate,fyear,tic,cusip,conm,at,lt,seq,ceq,txditc,pstkrv,pstkl,pstk,sale,revt,cogs,xsga,xrd,capx,oancf,ib,dp
001004,2020-05-31,2019,AIR,000361105,AAR CORP,2079.0,1176.4,902.6,902.6,0.0,0.0,0.0,0.0,2089.3,2089.3,1728.7,210.5,,23.6,-36.1,24.8,43.7
001019,2020-12-31,2020,AFAP,001038108,AFA PROTECTIVE SYSTEMS INC,40.57,27.091,13.479,13.479,0.361,0.0,0.0,0.0,82.679,82.679,55.673,21.236,,1.781,-0.543,2.603,1.924
001045,2020-12-31,2020,AAL,02376R102,AMERICAN AIRLINES GROUP INC,62008.0,68875.0,-6867.0,-6867.0,9.0,0.0,0.0,0.0,17337.0,17337.0,22290.0,4069.0,,1958.0,-6543.0,-8885.0,2365.0
001050,2020-12-31,2020,CECO,125141101,CECO ENVIRONMENTAL CORP,419.314,215.703,202.658,202.658,6.97,0.0,0.0,0.0,316.011,316.011,208.571,76.926,,3.945,4.421,8.211,9.921
001062,2020-11-30,2020,ASA,G3156P103,ASA GOLD AND PRECIOUS METALS,464.74,0.804,463.936,463.936,0.0,0.0,0.0,0.0,1.333,1.333,3.974,,,,,178.443,0.0
001075,2020-12-31,2020,PNW,723484101,PINNACLE WEST CAPITAL CORP,20020.421,14267.628,5633.503,5633.503,2326.775,0.0,0.0,0.0,3586.982,3586.982,2184.452,,,1345.114,966.365,550.559,614.378
001076,2020-12-31,2020,PRG,74319R101,PROG HOLDINGS INC,1317.404,331.268,986.136,986.136,126.938,0.0,0.0,0.0,2484.595,2484.595,400.678,,,64.345,455.964,233.627,1784.736
001078,2020-12-31,2020,ABT,002824100,ABBOTT LABORATORIES,72548.0,39545.0,32784.0,32784.0,1406.0,0.0,0.0,0.0,34608.0,34608.0,13496.0,12000.0,2420.0,2177.0,7901.0,4471.0,3327.0
001084,2020-12-31,2020,WDDD,98159J200,WORLDS INC,0.692,3.362,-2.67,-2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.507,,0.0,-1.082,-1.569,0.0
001096,2020-12-31,2020,MRCBF,617577101,MORGUARD CORP,11052.688,6693.899,3372.352,3372.352,648.225,0.0,0.0,0.0,1044.189,1044.189,556.671,59.607,,91.574,211.937,-98.918,35.295
001097,2020-12-31,2020,ACMTA,004616207,ACMAT CORP  -CL A,57.742,26.437,31.305,31.305,0.401,0.0,0.0,0.0,3.022,3.022,-0.776,2.68,,0.11,-0.222,0.696,0.186
001104,2020-12-31,2020,ACU,004816104,ACME UNITED CORP,129.867,67.151,62.716,62.716,0.11,0.0,0.0,0.0,164.003,164.003,100.657,48.182,0.251,2.569,5.721,8.099,3.752
001117,2020-12-31,2020,BKTI,05587G203,BK TECHNOLOGIES CORP,37.49,14.966,22.524,22.524,0.0,0.0,0.0,0.0,44.139,44.139,24.711,16.815,7.869,0.946,4.444,0.248,1.344
001119,2020-12-31,2020,ADX,006212104,ADAMS DIVERSIFIED EQUITY FD,,,,,,,,,,,,,,,,,
001121,2020-12-31,2020,AE,006351308,ADAMS RESOURCES & ENERGY INC,296.187,147.095,149.092,149.092,12.709,0.0,0.0,0.0,1022.422,1022.422,999.212,9.953,,5.008,-43.999,0.995,18.573
001161,2020-12-31,2020,AMD,007903107,ADVANCED MICRO DEVICES,8962.0,3125.0,5837.0,5837.0,11.0,0.0,0.0,0.0,9763.0,9763.0,5199.0,2964.0,1983.0,294.0,1071.0,2490.0,217.0
001166,2020-12-31,2020,ASMIY,N07045102,ASM INTERNATIONAL NV,2687.937,452.279,2235.658,2235.658,26.389,0.0,0.0,0.0,1600.9,1600.9,754.15,357.257,167.551,115.043,338.105,344.012,95.109
001186,2020-12-31,2020,AEM,008474108,AGNICO EAGLE MINES LTD,9614.755,3931.542,5683.213,5683.213,1036.061,0.0,0.0,0.0,3138.113,3138.113,1424.152,229.78,,759.342,1192.054,511.607,662.143
001209,2020-09-30,2020,APD,009158106,AIR PRODUCTS & CHEMICALS INC,25168.5,12725.4,12079.8,12079.8,962.6,0.0,0.0,0.0,8856.3,8856.3,4673.1,859.8,83.9,2509.0,3264.7,1901.0,1185.0
001210,2020-03-31,2019,AIRT,009207101,AIR T INC,151.427,120.336,24.006,24.006,0.579,0.0,0.0,0.0,236.785,236.785,184.215,39.617,0.0,38.692,-25.074,-0.409,5.681
001224,2020-09-30,2020,EGN1,010284008,SPIRE ALABAMA INC,2051.4,1199.7,851.7,851.7,0.0,0.0,0.0,0.0,455.0,455.0,292.8,,,150.4,140.7,65.7,59.3
001225,2020-12-31,2020,SO1,010392009,ALABAMA POWER CO,30803.0,20702.0,10101.0,9810.0,3367.0,291.0,291.0,291.0,5830.0,5830.0,3324.0,,,1970.0,1742.0,1165.0,812.0
001230,2020-12-31,2020,ALK,011659109,ALASKA AIR GROUP INC,14046.0,11058.0,2988.0,2988.0,407.0,0.0,0.0,0.0,3566.0,3566.0,4342.0,508.0,,206.0,-234.0,-1324.0,420.0
001234,2020-12-31,2020,ATRI,049904105,ATRION CORP,266.89,,240.442,240.442,10.768,0.0,0.0,0.0,147.591,147.591,69.776,30.495,5.645,21.886,38.97,32.115,11.652
001254,2020-12-31,2020,MATX,57686G105,MATSON INC,2900.6,1939.4,961.2,961.2,389.6,0.0,0.0,0.0,2383.3,2383.3,1796.3,225.0,,192.3,429.8,193.1,108.0
001257,2020-12-31,2020,ALX,014752109,ALEXANDER'S INC,1404.138,1200.91,203.228,203.228,0.0,0.0,0.0,0.0,209.979,209.979,120.76,6.307,0.0,0.0,78.066,41.939,0.0
001262,2020-12-31,2020,AGMJF,015644107,ALGOMA CENTRAL CORP,1223.096,662.48,560.616,560.616,43.513,0.0,0.0,0.0,545.66,545.66,368.612,29.727,,90.461,157.061,45.85,75.154
001263,2020-03-31,2019,ASTL,015658107,ALGOMA STEEL GROUP INC,,,,,,,,,,,,,,,,,
001266,2020-09-30,2020,ALCO,016230104,ALICO INC,423.937,202.155,216.341,216.341,39.728,0.0,0.0,0.0,92.507,92.507,64.697,10.894,,21.705,1.049,23.662,14.52
001272,2020-06-30,2020,PBAJ,71648P103,PETRO USA INC,0.0,0.091,-0.091,-0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,,0.0,0.0,-0.017,0.0
001274,2020-12-31,2020,Y,017175100,ALLEGHANY CORP,28927.01,19937.481,8755.72,8755.72,43.547,0.0,0.0,0.0,8943.519,8943.519,8490.948,,,37.519,1036.834,101.754,160.002
001300,2020-12-31,2020,HON,438516205,HONEYWELL INTERNATIONAL INC,64586.0,46789.0,17549.0,17549.0,2113.0,0.0,0.0,0.0,32637.0,32637.0,20859.0,4505.0,1334.0,906.0,6208.0,4779.0,1002.0
001327,2020-09-30,2020,SWKS,83088M102,SKYWORKS SOLUTIONS INC,5106.7,942.5,4164.2,4164.2,14.2,0.0,0.0,0.0,3355.7,3355.7,1372.2,694.5,473.9,389.4,1204.5,814.8,364.3
001352,2020-12-31,2020,GYLD,04273H104,ARROW DOW JONES GLBL YLD ETF,,,,,,,,,,,,,,,,,
001380,2020-12-31,2020,HES,42809H107,HESS CORP,18821.0,12486.0,5366.0,5366.0,342.0,0.0,0.0,0.0,4667.0,4667.0,4363.0,498.0,,2197.0,1333.0,-3093.0,2277.0
001388,2020-12-31,2020,AMR1,023771009,AMERICAN AIRLINES INC,69215.0,64867.0,4348.0,4348.0,9.0,0.0,0.0,0.0,17335.0,17335.0,22326.0,3915.0,,1922.0,-1429.0,-8450.0,2313.0
001393,2020-03-31,2019,UHAL,023586100,U-HAUL HOLDING CO,13438.024,9217.304,4220.72,4220.72,1093.543,0.0,0.0,0.0,3978.868,3978.868,2802.435,,,2309.406,1075.513,442.048,664.12
001397,2020-12-31,2020,ABLT,024591406,AMERICAN BILTRITE INC,121.575,98.722,21.808,21.808,,0.0,0.0,0.0,162.477,162.477,113.886,52.12,2.4,3.308,-2.903,-14.111,5.455
001410,2020-10-31,2020,ABM,000957100,ABM INDUSTRIES INC,3776.9,2276.6,1500.3,1500.3,10.8,0.0,0.0,0.0,5987.6,5987.6,5109.0,491.9,,38.0,457.5,0.2,96.4
001414,2020-12-31,2020,PRI,74164M108,PRIMERICA INC,14905.285,13069.4,1835.885,1835.885,202.448,0.0,0.0,0.0,2217.541,2217.541,1664.275,,,27.622,643.417,386.164,17.697
001417,2020-06-30,2020,VBF,46132L107,INVESCO BOND FUND,,,,,,,,,,,,,,,,,
001439,2020-12-31,2020,ECOL,91734M103,US ECOLOGY INC,1831.283,1229.352,601.931,601.931,120.983,0.0,0.0,0.0,933.854,933.854,580.9,196.09,,57.399,107.146,-389.359,107.905
001440,2020-12-31,2020,AEP,025537101,AMERICAN ELECTRIC POWER CO,80757.2,59937.5,20596.1,20550.9,8461.7,45.2,45.2,45.2,14918.5,14918.5,9248.0,,,6316.0,3832.9,2200.1,2682.8
001447,2020-12-31,2020,AXP,025816109,AMERICAN EXPRESS CO,191367.0,168383.0,22984.0,22984.0,0.0,1600.0,1600.0,0.0,38185.0,38185.0,31713.0,,,1479.0,5591.0,3135.0,1543.0
