gvkey,datadate,portfolio_date,fyear,tic,cusip,conm,at,lt,book_equity,sales,gross_profit,operating_profit,gross_profitability,operating_profitability,asset_growth,seq,ceq,txditc,pstkrv,pstkl,pstk,sale,revt,cogs,xsga,xrd,capx,oancf,ib,dp
001004,2020-05-31,2020-11-30,2019.0,AIR,000361105,AAR CORP,2079.0,1176.4,902.6,2089.3,360.60000000000014,150.10000000000014,0.17344877344877352,0.16629736317305577,,902.6,902.6,0.0,0.0,0.0,0.0,2089.3,2089.3,1728.7,210.5,,23.6,-36.1,24.8,43.7
001019,2020-12-31,2021-06-30,2020.0,AFAP,001038108,AFA PROTECTIVE SYSTEMS INC,40.57,27.091,13.84,82.679,27.006,5.77,0.6656642839536604,0.41690751445086704,,13.479,13.479,0.361,0.0,0.0,0.0,82.679,82.679,55.673,21.236,,1.781,-0.543,2.603,1.924
001050,2020-12-31,2021-06-30,2020.0,CECO,125141101,CECO ENVIRONMENTAL CORP,419.314,215.703,209.628,316.011,107.44000000000003,30.514000000000024,0.25622802959118945,0.14556261568111142,,202.658,202.658,6.97,0.0,0.0,0.0,316.011,316.011,208.571,76.926,,3.945,4.421,8.211,9.921
001062,2020-11-30,2021-05-31,2020.0,ASA,G3156P103,ASA GOLD AND PRECIOUS METALS,464.74,0.804,463.936,1.333,-2.641,-2.641,-0.005682747342600164,-0.005692595530417989,,463.936,463.936,0.0,0.0,0.0,0.0,1.333,1.333,3.974,,,,,178.443,0.0
001075,2020-12-31,2021-06-30,2020.0,PNW,723484101,PINNACLE WEST CAPITAL CORP,20020.421,14267.628,7960.278,3586.982,1402.5299999999997,1402.5299999999997,0.07005497037250115,0.1761910827737423,,5633.503,5633.503,2326.775,0.0,0.0,0.0,3586.982,3586.982,2184.452,,,1345.114,966.365,550.559,614.378
001076,2020-12-31,2021-06-30,2020.0,PRG,74319R101,PROG HOLDINGS INC,1317.404,331.268,1113.074,2484.595,2083.917,2083.917,1.5818359440232457,1.8722178399639196,,986.136,986.136,126.938,0.0,0.0,0.0,2484.595,2484.595,400.678,,,64.345,455.964,233.627,1784.736
001078,2020-12-31,2021-06-30,2020.0,ABT,002824100,ABBOTT LABORATORIES,72548.0,39545.0,34190.0,34608.0,21112.0,9112.0,0.29100733307603244,0.26651067563615094,,32784.0,32784.0,1406.0,0.0,0.0,0.0,34608.0,34608.0,13496.0,12000.0,2420.0,2177.0,7901.0,4471.0,3327.0
001096,2020-12-31,2021-06-30,2020.0,MRCBF,617577101,MORGUARD CORP,11052.688,6693.899,4020.5769999999998,1044.189,487.51800000000003,427.91100000000006,0.04410854626494478,0.10643024620595504,,3372.352,3372.352,648.225,0.0,0.0,0.0,1044.189,1044.189,556.671,59.607,,91.574,211.937,-98.918,35.295
001097,2020-12-31,2021-06-30,2020.0,ACMTA,004616207,ACMAT CORP  -CL A,57.742,26.437,31.706,3.022,3.798,1.1179999999999999,0.06577534550240727,0.03526146470699552,,31.305,31.305,0.401,0.0,0.0,0.0,3.022,3.022,-0.776,2.68,,0.11,-0.222,0.696,0.186
001104,2020-12-31,2021-06-30,2020.0,ACU,004816104,ACME UNITED CORP,129.867,67.151,62.826,164.003,63.34599999999999,15.163999999999987,0.4877759554005251,0.24136503995161218,,62.716,62.716,0.11,0.0,0.0,0.0,164.003,164.003,100.657,48.182,0.251,2.569,5.721,8.099,3.752
