permno,permco,month,date,ticker,ncusip,shrcd,exchcd,siccd,ret,retx,ret_adj,shrout,price,market_equity,vol,prc
10026,7976,2020-01-31,2020-01-31,JJSF,46603210,11,3,2052,-0.100016,-0.100016,-0.100016,18919.0,165.84,3137.52696,22433.0,165.84
10026,7976,2020-02-29,2020-02-28,JJSF,46603210,11,3,2052,-0.03027,-0.03027,-0.03027,18919.0,160.82001,3042.55376919,18648.0,160.82001
10026,7976,2020-03-31,2020-03-31,JJSF,46603210,11,3,2052,-0.244031,-0.247606,-0.244031,18888.0,121.0,2285.448,39302.0,121.0
10026,7976,2020-04-30,2020-04-30,JJSF,46603210,11,3,2052,0.049835,0.049835,0.049835,18888.0,127.03,2399.3426400000003,35670.0,127.03
10026,7976,2020-05-31,2020-05-29,JJSF,46603210,11,3,2052,0.012596,0.012596,0.012596,18888.0,128.63,2429.56344,27534.0,128.63
10026,7976,2020-06-30,2020-06-30,JJSF,46603210,11,3,2052,-0.007191,-0.011661,-0.007191,18888.0,127.13,2401.23144,21682.0,127.13
10026,7976,2020-07-31,2020-07-31,JJSF,46603210,11,3,2052,-0.031464,-0.031464,-0.031464,18895.0,123.13,2326.54135,21496.0,123.13
10026,7976,2020-08-31,2020-08-31,JJSF,46603210,11,3,2052,0.104118,0.104118,0.104118,18895.0,135.95,2568.77525,27668.0,135.95
10026,7976,2020-09-30,2020-09-30,JJSF,46603210,11,3,2052,-0.036668,-0.040897,-0.036668,18915.0,130.39,2466.3268499999995,30761.0,130.39
10026,7976,2020-10-31,2020-10-30,JJSF,46603210,11,3,2052,0.039727,0.039727,0.039727,18915.0,135.57001,2564.30673915,26702.0,135.57001
10026,7976,2020-11-30,2020-11-30,JJSF,46603210,11,3,2052,0.072435,0.072435,0.072435,18954.0,145.39,2755.7220599999996,31460.0,145.39
10026,7976,2020-12-31,2020-12-31,JJSF,46603210,11,3,2052,0.072598,0.068643,0.072598,18956.0,155.37,2945.19372,22162.0,155.37
10028,7978,2020-01-31,2020-01-31,ELA,29402E10,11,2,5094,0.607407,0.607407,0.607407,26924.0,2.17,58.425079999999994,27373.0,2.17
10028,7978,2020-02-29,2020-02-28,ELA,29402E10,11,2,5094,0.225806,0.225806,0.225806,26924.0,2.66,71.61784000000002,44552.0,2.66
10028,7978,2020-03-31,2020-03-31,ELA,29402E10,11,2,5094,-0.052632,-0.052632,-0.052632,26924.0,2.52,67.84848,43531.0,2.52
10028,7978,2020-04-30,2020-04-30,ELA,29402E10,11,2,5094,0.448413,0.448413,0.448413,26924.0,3.65,98.2726,33008.0,3.65
10028,7978,2020-05-31,2020-05-29,ELA,29402E10,11,2,5094,-0.016438,-0.016438,-0.016438,26924.0,3.59,96.65715999999999,35391.0,3.59
10028,7978,2020-06-30,2020-06-30,ELA,29402E10,11,2,5094,0.699164,0.699164,0.699164,26924.0,6.1,164.2364,37849.0,6.1
10028,7978,2020-07-31,2020-07-31,ELA,29402E10,11,2,5094,-0.306557,-0.306557,-0.306557,26924.0,4.23,113.88852000000001,29112.0,4.23
